HDI_ranking;COUNTRY;"Human_development_index_(HDI)_value
2005";"Life_expectancy_at_birth
(years)
2005";"Adult_literacy_rate
(% aged 15 and above)
1995-2005b";"Adult_literacy_rate
(% aged 15 and above)
1995-2005b";"Combined_gross_enrolment_ratio_for_primary_secondary_and_tertiary_education
(%)
2005";"GDP_per_capita
(PPP US$)
2005";Life_expectancy_index;Education_index;GDP_index;GDP_per capita_rank_minus_HDI_rankc
1;Iceland;0.968;81.5;..;d;95.4;36,51;0.941;0.978;0.985;4
2;Norway;0.968;79.8;..;d;99.2;41,42;0.913;0.991;1.000;1
3;Australia;0.962;80.9;..;d;113.0;31,794;0.931;0.993;0.962;13
4;Canada;0.961;80.3;..;d;99.2;33,375;0.921;0.991;0.970;6
5;Ireland;0.959;78.4;..;d;99.9;38,505;0.890;0.993;0.994;-1
6;Sweden;0.956;80.5;..;d;95.3;32,525;0.925;0.978;0.965;7
7;Switzerland;0.955;81.3;..;d;85.7;35,633;0.938;0.946;0.981;-1
8;Japan;0.953;82.3;..;d;85.9;31,267;0.954;0.946;0.959;9
9;Netherlands;0.953;79.2;..;d;98.4;32,684;0.904;0.988;0.966;3
10;France;0.952;80.2;..;d;96.5;30,386;0.919;0.982;0.954;8
11;Finland;0.952;78.9;..;d;101.0;32,153;0.898;0.993;0.964;3
12;United States;0.951;77.9;..;d;93.3;41,89;0.881;0.971;1.000;-10
13;Spain;0.949;80.5;..;d;98.0;27,169;0.925;0.987;0.935;11
14;Denmark;0.949;77.9;..;d;102.7;33,973;0.881;0.993;0.973;-6
15;Austria;0.948;79.4;..;d;91.9;33,7;0.907;0.966;0.971;-6
16;United Kingdom;0.946;79.0;..;d;93.0;33,238;0.900;0.970;0.969;-5
17;Belgium;0.946;78.8;..;d;95.1;32,119;0.897;0.977;0.963;-2
18;Luxembourg;0.944;78.4;..;d;84.7;60,228;0.891;0.942;1.000;-17
19;New Zealand;0.943;79.8;..;d;108.4;24,996;0.913;0.993;0.922;9
20;Italy;0.941;80.3;98.4;;90.6;28,529;0.922;0.958;0.944;1
21;Hong Kong, China (SAR);0.937;81.9;..;j;76.3;34,833;0.949;0.885;0.977;-14
22;Germany;0.935;79.1;..;d;88.0;29,461;0.902;0.953;0.949;-2
23;Israel;0.932;80.3;97.1;k;89.6;25,864;0.921;0.946;0.927;3
24;Greece;0.926;78.9;96.0;;99.0;23,381;0.898;0.970;0.910;5
25;Singapore;0.922;79.4;92.5;;87.3;29,663;0.907;0.908;0.950;-6
26;Korea (Republic of);0.921;77.9;..;d;96.0;22,029;0.882;0.980;0.900;6
27;Slovenia;0.917;77.4;99.7;d,l;94.3;22,273;0.874;0.974;0.902;4
28;Cyprus;0.903;79.0;96.8;;77.6;22,699;0.900;0.904;0.905;2
29;Portugal;0.897;77.7;93.8;l;89.8;20,41;0.879;0.925;0.888;6
30;Brunei Darussalam;0.894;76.7;92.7;;77.7;28,161;0.862;0.877;0.941;-8
31;Barbados;0.892;76.6;..;d,j;88.9;17,297;0.861;0.956;0.860;8
32;Czech Republic;0.891;75.9;..;d;82.9;20,538;0.849;0.936;0.889;2
33;Kuwait;0.891;77.3;93.3;;74.9;26,321;0.871;0.871;0.930;-8
34;Malta;0.878;79.1;87.9;;80.9;19,189;0.901;0.856;0.877;2
35;Qatar;0.875;75.0;89.0;;77.7;27,664;0.834;0.852;0.938;-12
36;Hungary;0.874;72.9;..;d,j;89.3;17,887;0.799;0.958;0.866;2
37;Poland;0.870;75.2;..;d,j;87.2;13,847;0.836;0.951;0.823;11
38;Argentina;0.869;74.8;97.2;;89.7;14,28;0.831;0.947;0.828;9
39;United Arab Emirates;0.868;78.3;88.7;l;59.9;25,514;0.889;0.791;0.925;-12
40;Chile;0.867;78.3;95.7;;82.9;12,027;0.889;0.914;0.799;15
41;Bahrain;0.866;75.2;86.5;;86.1;21,482;0.837;0.864;0.896;-8
42;Slovakia;0.863;74.2;..;d;78.3;15,871;0.821;0.921;0.846;-1
43;Lithuania;0.862;72.5;99.6;d;91.4;14,494;0.792;0.965;0.831;3
44;Estonia;0.860;71.2;99.8;d;92.4;15,478;0.770;0.968;0.842;0
45;Latvia;0.855;72.0;99.7;d;90.2;13,646;0.784;0.961;0.821;4
46;Uruguay;0.852;75.9;96.8;;88.9;9,962;0.848;0.942;0.768;16
47;Croatia;0.850;75.3;98.1;;73.5;13,042;0.839;0.899;0.813;4
48;Costa Rica;0.846;78.5;94.9;;73.0;10,18;0.891;0.876;0.772;13
49;Bahamas;0.845;72.3;..;j;70.8;18,38;0.789;0.875;0.870;-12
50;Seychelles;0.843;72.7;91.8;;82.2;16,106;0.795;0.886;0.848;-10
51;Cuba;0.838;77.7;99.8;d;87.6;6;0.879;0.952;0.683;43
52;Mexico;0.829;75.6;91.6;;75.6;10,751;0.843;0.863;0.781;7
